year,name,waterbody,identifier,Lat,Long,type,turbidity,SAL,WT
2022,AW1 Trockenort,Achterwasser,2022,54.01667,13.958331,Coast,0.3,2.5,2.4
2022,DB1 Pramort,Barther Fahrwasser,2022,54.42,12.926671,Coast,2,8.6,2.2
2022,DB10 Bodstedt n.,Bodstedter Bodden,2022,54.395001,12.623331,Coast,0.7,5.1,1
2022,DB16 Saal nw.,Saaler Bodden,2022,54.335001,12.448331,Coast,0.6,3.8,0.6
2022,DB2 Sundische Wiese,Grabow,2022,54.39167,12.838331,Coast,0.9,7.4,1.8
2022,DB6 Barth oe.,Barther Bodden,2022,54.395001,12.750001,Coast,0.8,5.8,1.6
2022,GB10 Ruden s.,Greifswalder Bodden,2022,54.18833,13.775001,Coast,1,5.25,1.25
2022,GB19 Zentralbereich,Greifswalder Bodden,2022,54.20667,13.566671,Coast,1.9,7.6,1.5
2022,GB2 I.Vilm s.,Greifswalder Bodden,2022,54.26667,13.516671,Coast,2.6,7.5,1.5
2022,GB3 Daenische Wiek n.,Daenische Wiek,2022,54.15,13.483331,Coast,2.6,7.6,1.5
2022,GB7 Struck,Greifswalder Bodden,2022,54.20667,13.653331,Coast,2.5,7.6,1.4
2022,GS Gellenstrom Hiddensee w.,Prerowbucht,2022,54.51167,13.050002,Coast,2.6,11.5,3.3
2022,KB90 Fahrwasser I.Libitz w.,Kubitzer Bodden,2022,54.40167,13.105001,Coast,2.6,10.8,2.9
2022,O133 suedl. Greifsw. Oie,Pommersche Bucht,2022,54.20333,13.905002,Coast,3.5,7.55,2.05
2022,Odin,Open Baltic,2022,54.8793,13.8619,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.8784,13.8577,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.7619,16.2905,Sea,,10.67,
2022,Odin,Open Baltic,2022,56.6254,17.1302,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.3672,20.3339,Sea,,10.67,
2022,Odin,Open Baltic,2022,58.712,18.6696,Sea,,10.67,
2022,Odin,Open Baltic,2022,58.8656,19.7442,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.4881,12.0654,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.5489,10.7699,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.1639,17.2944,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.0754,19.7538,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.085,18.9905,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.0755,14.1544,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.044,21.2831,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.6967,12.7058,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.6969,12.7012,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.6503,12.4506,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.6498,12.45,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.5514,11.32,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.5518,11.3204,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.4131,11.6167,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.4142,11.6166,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.3151,11.5499,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.3147,11.5502,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.3151,11.5504,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.3146,11.5508,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.4732,11.4823,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.595,11.0133,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.3919,11.8231,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.1101,11.1748,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.1095,11.1749,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.1096,11.1752,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.7237,12.7835,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.724,12.7831,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.7234,12.7832,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.7233,12.7836,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.6048,12.3316,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.4068,12.0622,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.4064,12.0625,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.47,12.2412,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.469,12.242,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.4699,12.2417,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.4699,12.2421,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.0003,13.3014,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.1556,13.9415,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.0634,13.989,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.0631,13.9878,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.0681,13.8132,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.0682,13.8132,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.0251,13.6075,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.0252,13.6068,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.9999,14.0836,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.0003,14.0833,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.0001,14.0827,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.9619,13.3425,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.8029,13.9585,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.9249,13.4997,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.9249,13.4999,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.9247,13.5004,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.9246,13.5,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.925,13.5,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.9254,13.4998,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.8607,13.2751,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.8611,13.2753,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.7948,13.0576,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.7947,13.0588,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.9903,13.7693,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.4665,14.7164,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.4666,14.7163,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2569,14.4908,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2571,14.49,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.1667,14.2502,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.1664,14.2499,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.3832,15.3336,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.3832,15.3331,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.5329,14.9155,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.4957,15.093,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.4536,15.2335,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.3468,15.4665,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.3301,15.6149,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.3017,15.7967,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2497,15.9833,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2497,15.9836,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2503,15.9831,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2499,15.9835,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2501,15.9828,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2499,15.9822,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.1598,15.6602,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.5005,16.0002,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2217,16.1674,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2216,16.167,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2165,17.0665,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2164,17.0665,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2832,16.4997,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2589,16.3214,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2589,16.3207,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2967,16.432,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2971,16.4311,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2613,16.6388,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2617,16.6385,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2371,16.7728,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2287,16.9136,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2284,16.914,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.9995,18.0002,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.7163,17.3662,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.1167,17.667,Sea,,10.67,
2022,Odin,Open Baltic,2022,56.0835,19.1668,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.8668,18.6405,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.8396,18.8673,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.8402,18.8666,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.623,18.6052,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.6329,18.6001,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.3267,18.2353,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.3267,18.2495,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.4412,18.3209,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.4413,18.3204,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.7274,18.7652,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.7273,18.7654,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.55,18.4012,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.5505,18.3994,Sea,,10.67,
2022,Odin,Open Baltic,2022,56.6335,19.5837,Sea,,10.67,
2022,Odin,Open Baltic,2022,56.4919,19.4819,Sea,,10.67,
2022,Odin,Open Baltic,2022,56.2345,19.3012,Sea,,10.67,
2022,Odin,Open Baltic,2022,56.3467,19.379,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.959,19.0468,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2509,17.3596,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2522,17.3596,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2861,17.5939,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.2861,17.5937,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.3075,17.9301,Sea,,10.67,
2022,Odin,Open Baltic,2022,55.3077,17.9309,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.6161,20.1674,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.3204,20.0489,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.32,20.0504,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.3198,20.0501,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.3199,20.0502,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.3209,20.0491,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.3207,20.0497,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.3203,20.0497,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.3202,20.0501,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.0716,19.8308,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.2109,19.931,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.4703,20.2596,Sea,,10.67,
2022,Odin,Open Baltic,2022,58.183,20.0487,Sea,,10.67,
2022,Odin,Open Baltic,2022,58.3499,20.1469,Sea,,10.67,
2022,Odin,Open Baltic,2022,58.6414,20.3449,Sea,,10.67,
2022,Odin,Open Baltic,2022,58.8833,20.3163,Sea,,10.67,
2022,Odin,Open Baltic,2022,58.7832,19.1001,Sea,,10.67,
2022,Odin,Open Baltic,2022,58.4416,20.3335,Sea,,10.67,
2022,Odin,Open Baltic,2022,58,19.9008,Sea,,10.67,
2022,Odin,Open Baltic,2022,58,19.9001,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.7148,19.8532,Sea,,10.67,
2022,Odin,Open Baltic,2022,58.9965,20.1597,Sea,,10.67,
2022,Odin,Open Baltic,2022,58.7665,20.3301,Sea,,10.67,
2022,Odin,Open Baltic,2022,57.8499,19.8163,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.5999,10.4495,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.6647,10.7775,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.2311,12.0758,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.2317,12.0753,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.2312,12.0747,Sea,,10.67,
2022,Odin,Open Baltic,2022,54.5416,10.6863,Sea,,10.67,
2022,Odin,Open Baltic,2022,56.8763,17.3895,Sea,,10.67,
2022,Odin,Open Baltic,2022,58.3258,18.0682,Sea,,10.67,
2022,P20 Peenemuende s.,Peenestrom,2022,54.121,13.773,Coast,0.5,4.8,2.25
2022,P42 Wolgast s.,Peenestrom,2022,54.023358,13.760763,Coast,0.6,4.55,2.2
2022,P48 Lassan,Peenestrom,2022,53.96667,13.891671,Coast,0.4,2.5,2.2
2022,RB10 Lietzow n.,Gr. Jasmunder Bodden,2022,54.50667,13.490002,Coast,8,8.3,2.3
2022,RB3 Bugspitze s.,Rassower Strom,2022,54.55333,13.178332,Coast,1.5,10.3,2.9
2022,RB6 Wittower Faehre oe.,Breetzer Bodden,2022,54.56333,13.293332,Coast,1,8.8,2.6
2022,RB9 Glowe sw.,Gr. Jasmunder Bodden,2022,54.54333,13.426672,Coast,0.9,8.4,2.3
2022,S66 Stralsund,Andershofer Bucht,2022,54.28667,13.131671,Coast,1.2,8.3,1.6
